Id,PostId,Score,Text,CreationDate,UserId,ContentLicense,of_answer,cnt_keywords,subject,punctuation,negative_statement,sentence,subj_irrel,include_irrel,Id_que,CreationDate_que,Score_que,ViewCount,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,ClosedDate,FavoriteCount,CommunityOwnedDate
1027927,1204191,0,"Do you have a contact over at Amazon? They need to be made to understand why they should not require people to use obsolete software that's barely supported (WSE). Check my profile, and ask them to contact me at johnwsaundersiii at live.com.",2009-07-30T05:38:18.620,76337,CC BY-SA 2.5,False,1,,.,1,They need to be made to understand why they should not require people to use obsolete software that's barely supported (WSE).,False,False,1204191.0,2009-07-30T02:48:06.287,3.0,10400.0,2009-08-03T03:09:04.357,2009-09-05T04:11:20.040,How to sign an Amazon web service request in .NET with SOAP and without WSE,<c#><wcf><web-services><soap><amazon-web-services>,4.0,2.0,,3.0,
2301473,1496066,4,"This question and answers are out of date now that SimpleDB supports consistent reads and conditional puts. See 
http://developer.amazonwebservices.com/connect/ann.jspa?annID=611",2010-02-25T02:48:51.043,50277,CC BY-SA 2.5,False,1,question,.,0,This question and answers are outdated now that SimpleDB supports consistent reads and conditional puts.,False,False,1496066.0,2009-09-30T04:04:17.807,9.0,4772.0,2013-01-06T13:29:42.057,2018-11-17T00:09:24.550,Amazon SimpleDB Woes: Implementing counter attributes,<amazon-web-services><amazon-simpledb>,6.0,1.0,,7.0,
2301480,327169,1,"This question and answers are out of date now that SimpleDB supports consistent reads and conditional puts. See 
http://developer.amazonwebservices.com/connect/ann.jspa?annID=611",2010-02-25T02:51:10.927,50277,CC BY-SA 2.5,False,1,question,.,0,This question and answers are outdated now that SimpleDB supports consistent reads and conditional puts.,False,False,327169.0,2008-11-29T04:36:13.523,6.0,959.0,,2008-11-29T13:39:08.123,"How far can you really go with ""eventual"" consistency and no transactions (aka SimpleDB)?",<sql><database><amazon-web-services><amazon-simpledb>,2.0,1.0,,4.0,
8008147,6735850,0,"@house9, I've looked at heroku already, and their prices are huge for us compared to a linode vm ($20/m). I'm trying out amazon's free service, which is why I wanted resources specific to ec2. Regarding the other link, I've looked them up, but they're a bit outdated. Thanks for the suggestions though!",2011-07-19T22:43:03.567,152092,CC BY-SA 3.0,False,1,I,.,0,"Regarding the other link, I've looked them up, but they're a bit outdated.",False,False,6735850.0,2011-07-18T16:06:30.553,5.0,2907.0,,2013-03-19T11:17:48.443,Rails 3 Server on EC2,<ruby-on-rails-3><amazon-ec2><ruby-on-rails-3.1>,3.0,3.0,,3.0,
9594466,7864988,0,UIDevice `uniqueIdentifier` is deprecated in iOS 5.,2011-10-23T08:13:47.107,18091,CC BY-SA 3.0,False,1,UIDevice,.,0,UIDevice `uniqueIdentifier` is deprecated in iOS 5.,False,False,7864988.0,2011-10-23T07:47:23.067,0.0,783.0,,2011-10-23T09:05:42.187,ios 5 AWS SDK S3PutObjectRequest,<amazon-s3><amazon-web-services><ios5>,1.0,2.0,,,
10801415,8686125,0,"Yeah, it's very common. I've seen WP installations several years out of date.",2011-12-31T04:25:07.550,1902010,CC BY-SA 3.0,False,1,,.,0,I've seen WP installations several years outdated.,False,False,8686125.0,2011-12-31T03:40:23.500,18.0,22334.0,2011-12-31T04:05:44.403,2014-11-20T21:20:23.480,Update wordpress theme on ec2,<wordpress><amazon-ec2>,7.0,8.0,,22.0,
12168919,9592298,0,"I just deleted my answer a second time (for good) and will refrain from adding another one until I can actually reproduce an end to end solution in .NET. Pre-signed URLs for custom domains are known to work in principle (see e.g this ancient AWS team response to [CNAME alias with pre-signed query](https://forums.aws.amazon.com/message.jspa?messageID=71409#71409) and I've used them as well accordingly; the VANITY parameter in the Ruby example is deprecated and not available in the AWS SDK for .NET anyway, where it's supposed to just work like so, AFAIK - Again, sorry for the hassle!",2012-03-07T00:31:52.583,45773,CC BY-SA 3.0,False,1,parameter,.NET,1,and I've used them as well accordingly; the VANITY parameter in the Ruby example is deprecated and not available in the AWS SDK for .NET,False,False,9592298.0,2012-03-06T21:35:45.550,5.0,6155.0,2012-03-06T22:27:54.710,2012-03-16T15:45:33.277,"How to generate pre-signed Amazon S3 url for a vanity domain, using amazon sdk?",<c#><.net><amazon-s3>,2.0,1.0,,2.0,
14091455,10824033,0,"EMR boots up with a deprecated hadoop-site.xml file and it looks like it may be using this and the hadoop.tmp.dir config defined in it, which points to /tmp. /tmp is much smaller. I'm going to try overriding that config. It may not work though.  https://forums.aws.amazon.com/thread.jspa?threadID=32108",2012-05-30T22:09:59.927,602266,CC BY-SA 3.0,False,1,,and,0,EMR boots up with a deprecated hadoop-site.xml file and it looks like it may be using this and,False,False,10824033.0,2012-05-30T20:49:03.613,3.0,4589.0,2012-05-30T23:41:43.640,2012-06-18T21:47:17.460,Amazon EMR: Initializing a cluster with data,<hadoop><amazon-s3><hdfs><emr>,1.0,5.0,,1.0,
16108783,12057376,0,Are you using Replica Sets? Master-Slave has been deprecated.,2012-08-21T19:37:00.483,261188,CC BY-SA 3.0,False,1,Slave,.,0,Master-Slave has been deprecated.,False,False,12057376.0,2012-08-21T14:41:58.793,0.0,67.0,,2012-08-21T14:45:24.820,Config 2 EC2 that have mongoDb to work together,<mongodb><amazon-ec2>,1.0,1.0,,,
16344079,454355,8,MD5 is a very weak hash function and it's usage has been discouraged for many years now: http://en.wikipedia.org/wiki/MD5. Use SHA2 nowadays. MD5 is lipstick on a pig with an identity crisis.,2012-08-30T18:33:30.103,63621,CC BY-SA 3.0,False,1,,.,0,MD5 is a very weak hash function and it's usage has been discouraged for many years now: http://en.wikipedia.org/wiki/MD5.,False,False,454355.0,2009-01-18T00:12:10.863,229.0,108626.0,2017-05-23T11:47:16.490,2015-01-12T11:41:10.617,Security of REST authentication schemes,<rest><authentication><oauth><amazon-s3><rest-security>,6.0,9.0,,198.0,
