,Id,PostId,link,outdated (manually checked),description,link outdated,answer outdated,service in question outdated,other reasons,partly outdated,totally outdated,is aws-related,related service,keywords,phrases,strucutures,point out deprecated version,provide alternatives,share a link,provide code,others,Text
0,2012755,2012754,https://stackoverflow.com/questions/2012755,TRUE,link in question outdated,1,0,0,0,,,yes,aws,deprecated,has been deprecated,"provide alternatives, share a link",0,1,1,0,0,"<p>The word 'service' is only in the xml 3 times, so I'm assuming that what you're looking for is:</p>
<pre><code>&lt;service name=""AmazonSearchService""&gt; 
  &lt;!-- Endpoint for Amazon Web APIs --&gt; 
  &lt;port name=""AmazonSearchPort"" binding=""typens:AmazonSearchBinding""&gt; 
  &lt;soap:address location=""http://soap.amazon.com/onca/soap2""/&gt; 
  &lt;/port&gt; 
&lt;/service&gt;
</code></pre>
<p>Edit: Visiting <a href=""http://soap.amazon.com/onca/soap2"" rel=""nofollow noreferrer"">that url</a> in a browser shows a page with this message:</p>
<blockquote>
  <p>Amazon Ecommerce Web Service 3.0 has
  been deprecated after many years of
  useful service on March 31st 2008.
  Please upgrade to the Amazon
  Associates Web Service 4.0 as detailed
  in the <a href=""http://developer.amazonwebservices.com/connect/entry.jspa?categoryID=12&amp;externalID=627"" rel=""nofollow noreferrer"">migration guide</a>. Please visit
  <a href=""http://developer.amazonwebservices.com/connect/forum.jspa?forumID=9&amp;start=0"" rel=""nofollow noreferrer"">Amazon Associates Web Service
  Developer Forum</a> for more information.
  If you came to this page from an RSS
  feed, visit <a href=""http://www.amazon.com/b/?ie=UTF8&amp;node=390052011"" rel=""nofollow noreferrer"">Amazon's Product RSS Feeds</a>
  page for an upgrade.</p>
</blockquote>
<p>The migration guide has many WSDL locations, depending on which national site you want; the US site's wsdl is at <a href=""http://webservices.amazon.com/AWSECommerceService/AWSECommerceService.wsdl"" rel=""nofollow noreferrer"">http://webservices.amazon.com/AWSECommerceService/AWSECommerceService.wsdl</a> and the schema is at <a href=""http://webservices.amazon.com/AWSECommerceService/AWSECommerceService.xsd"" rel=""nofollow noreferrer"">http://webservices.amazon.com/AWSECommerceService/AWSECommerceService.xsd</a></p>"
1,3096855,3096631,https://stackoverflow.com/questions/3096855,TRUE,answer outdated and pointed out by answerer himself,0,1,0,0,,,yes,amazon-emr,deprecated,,point out deprecated version,0,1,0,0,0,"<p>Dirk's comments are spot on w.r.t multicore/foreach/doMC. </p>
<p>If you are doing thousands of simulations you may want to consider Amazon's Elastic Map Reduce (EMR) service. When I wanted to scale my simulations in R I started with huge EC2 instances and the multicore package (just like you!). It went well but I ran up a hell of an EC2 bill. I didn't really need all that RAM yet I was paying for it. And my jobs would finish at 3 AM then I would not get into the office until 8 AM so I paid for 5 hours I didn't need. </p>
<p>Then I discovered that I could use the EMR service to fire up 50 cheap small Hadoop instances, run my simulations, and then have them automatically shut down! I've totally abandoned running my sims on EC2 and now use EMR almost exclusively. This worked so well that my firm is beginning to test ways to migrate more of our periodic simulation activity to EMR. </p>
<p>Here's a <a href=""http://www.cerebralmastication.com/2010/02/using-the-r-multicore-package-in-linux-with-wild-and-passionate-abandon/"" rel=""nofollow noreferrer"">blog post</a> I wrote when I first started using multicore on EC2. Then when I discovered I could do this with Amazon EMR I wrote a <a href=""http://www.cerebralmastication.com/2010/02/you-can-hadoop-it-its-elastic-boogie-woogie-woog-ie/"" rel=""nofollow noreferrer"">follow up post</a>. </p>
<p><strong>EDIT:</strong>  since this post I've been working on a package for making it easier to use EMR with R for parallel apply functions. I've named the project <a href=""http://code.google.com/p/segue/"" rel=""nofollow noreferrer"">Segue and it's on Google Code</a>. </p>
<p><strong>Further Update:</strong> I've since deprecated Segue because there are much better and more mature offerings for accessing Amazon's services from R. </p>"
2,3895343,3893211,https://stackoverflow.com/questions/3895343,FALSE,code format in question outdated,0,0,0,1,,,no,,deprecated,,provide alternatives,1,0,0,0,0,"<p>This is probably not the best time to criticize your code but:</p>
<p>All your script should be included externally, not inline.
Do not use , this is a deprecated, ancient way of including inline script.  If you must, use //
I see in your script you are using document.write().  DON'T!</p>
<p>You cannot cheat and include a script in such a way and expect it to be executed.</p>
<p>Use <a href=""http://api.jquery.com/jQuery.getScript/"" rel=""nofollow"">jQuery.getScript()</a></p>"
3,3991880,3931881,https://stackoverflow.com/questions/3991880,TRUE,service in question outdated,0,0,1,0,,,yes,aws-api,deprecated,stopped working,point out deprecated version,1,0,1,0,0,"<p>It stopped working on my site. I assumed deprecated meant it won't work in the future, so don't build around it. I didn't think they'd remove it completely.</p>"
4,4150436,4149973,https://stackoverflow.com/questions/4150436,TRUE,service in question outdated,0,0,1,0,,,yes,amazon-ecs,outdated,,"point out deprecated version, share a link",1,0,1,0,0,"<p>A while back I had wrote a client library for communicating with Amazon's ECS (A2S) services.  Seems that Amazon hates their developers and keeps changing their service name and framework.  Well, my client is now completely broken because of <a href=""http://developer.amazonwebservices.com/connect/ann.jspa?annID=483"" rel=""nofollow"">Recent API Changes</a>.</p>
<p>Your best bet would be to look at their samples <a href=""http://aws.amazon.com/code/Product-Advertising-API/3941"" rel=""nofollow"">here</a>.</p>
<p>Good luck with this. Their API is huge and outdated from the experience I had, but that was two years ago. I get the impression that they really cater to developers for their enterprise services, not the free A2S.</p>"
5,4337337,4336842,https://stackoverflow.com/questions/4337337,TRUE,service in question outdated,0,0,1,0,,,yes,aws-sdk-ruby,out of date,version way out of date,"provide alternatives, provide code",0,1,0,1,0,"<p>The answer is yes. You can test your bootstrap script like this:</p>
<pre><code>elastic_mapreduce --create --alive --ssh
</code></pre>
<p>This will create a node and give you a ssh connection to it, from which you can test your bootstrap script.</p>
<p>UPDATE: For reference here is what I'm running:</p>
<pre><code>#!/bin/bash
sudo apt-get -y -V install irb1.8 libreadline-ruby1.8 libruby libruby1.8 rdoc1.8 ruby ruby1.8 ruby1.8-dev
wget http://production.cf.rubygems.org/rubygems/rubygems-1.8.11.zip
unzip rubygems-1.8.11.zip
cd rubygems-1.8.11
sudo ruby setup.rb
sudo gem1.8 install bson bson_ext json tzinfo i18n activesupport --no-rdoc --no-ri
</code></pre>
<p>UPDATE2: to install aws-sdk</p>
<pre><code>#!/bin/bash
# ruby developer packages
sudo apt-get -y -V  install ruby1.8-dev ruby1.8 ri1.8 rdoc1.8 irb1.8
sudo apt-get -y -V  install libreadline-ruby1.8 libruby1.8 libopenssl-ruby
# nokogiri requirements
sudo apt-get -y -V  install libxslt-dev libxml2-dev
wget http://production.cf.rubygems.org/rubygems/rubygems-1.8.11.zip
unzip rubygems-1.8.11.zip
cd rubygems-1.8.11
sudo ruby setup.rb
sudo gem1.8 install aws-sdk --no-rdoc --no-ri
</code></pre>
<p>-y on apt-get makes it not prompt you</p>
<p>I wget rubygems because the version you get with apt-get is way out of date, and some gems won't build using an old version.</p>"
6,4979599,4976451,https://stackoverflow.com/questions/4979599,TRUE,service in question outdated,0,0,1,0,,,yes,"amazon-ec2, amazon-ami",outdated,kinda outdated now,"provide alternatives, share a link",0,1,1,0,0,"<p>The AMI's are kinda outdated now, but if you follow <a href=""http://groups.drupal.org/node/70268"" rel=""nofollow"" title=""these instructions"">these instructions from the pantheon group on g.d.o</a> using one of the Alestic Ubuntu 10.4 ami's as a base you should be fine to roll your own.</p>"
7,5029447,5027097,https://stackoverflow.com/questions/5029447,TRUE,service in question outdated,0,0,1,0,,,yes,amazon-emr,deprecated,,provide alternatives,0,1,0,0,0,"<p>The difference is that the mapred packages are deprecated. You should use since 0.20.x the new stuff inside mapreduce package. <br>
For example the new way to implement a mapper, with mapred-package you have to implement the mapper interface. With the mapreduce-package you simply extend from a basic mapper class and override just the method you need.</p>"
8,5265964,4498192,https://stackoverflow.com/questions/5265964,TRUE,service in question outdated,0,0,1,0,,,yes,amazon-simpledb,deprecated,,"provide alternatives, share a link",0,1,1,0,0,"<p>The ""query"" interface was the original search interface for SimpleDB.  It was set-based, non-standard and quite lovely, I thought.  However, over time AWS introduced a SQL-like query language (accessed via the Select request) and then deprecated and eventually removed the original query interface.</p>
<p>So, the reason it doesn't work in boto is because it is no longer supported by SimpleDB.  For more up-to-date boto documentation, look <a href=""http://boto.cloudhackers.com/"" rel=""noreferrer"">here</a>.</p>"
9,5654982,5639803,https://stackoverflow.com/questions/5654982,FALSE,outdated software-possible cause raised by answerer,0,0,0,1,,,yes,amazon-ses,outdated,,"provide alternatives, share a link",0,1,1,0,0,"<p>For some reason, your OpenSSL does not get the intermediate certificate. (Outdated software?)</p>
<p>Install the intermediate certificate with the subject hash 0xeb99629b, available at <a href=""https://knowledge.verisign.com/support/ssl-certificates-support/index?page=content&amp;actp=CROSSLINK&amp;id=AR1513"" rel=""nofollow"">https://knowledge.verisign.com/support/ssl-certificates-support/index?page=content&amp;actp=CROSSLINK&amp;id=AR1513</a>.</p>
<p>You can use it with the <code>-CAfile</code> parameter in OpenSSL tools and with the environment variable <code>HTTPS_CA_FILE</code> for the Perl HTTPS stack. To use it system-wide, place it in the appropriate ca-certificates directory, e.g. <code>/etc/ssl/certs</code>, and <a href=""http://www.manpagez.com/man/1/c_rehash/"" rel=""nofollow""><code>c_rehash</code></a> the directory.</p>"
