Id	PostId	Score	Text	CreationDate	UserId	link	outdated (manually checked)	description	link outdated	answer outdated	question outdated	already outdated when posted	other reasons	uncertain	partly outdated	totally outdated	is aws-related	related service	keywords	phrases	strucutures	point out deprecated version	provide alternatives	share a link	provide code	others	other notes	link to updated post	for question (1) / for answer (2)
29746988	5502390	2	"The test page http://blog.kosny.com/testpages/safari-gz/ indicates that the warning ""Be careful naming and test in Safari. Because safari won't handle css.gz or js.gz"" is out of date. In Safari 7 on Mavericks, and in Safari on iOS 7, both css.gz and js.gz work. I don't know when this change occurred, I'm only testing with the devices I have."	2013-11-14T15:46:55.083	595094	https://stackoverflow.com/questions/5502390	TRUE	code format in answer outdated	0	0	0		1	0	0	1	no		out of date			1	1	1	0	0			2
22037703	15550433	0	"@believeme That example uses deprecated mysql library and has issues with SQL injection. While it does demonstrate the concept, the code needs to be improved before using it in production."	2013-03-21T15:32:21.667	790224	https://stackoverflow.com/questions/15550433	TRUE	another comment outdated	0	0	0		1	0	1	0	no		deprecated			1	0	0	0	0	outdated mysql library		1
58927510	33262467	1	"This is the best answer now, as aws 1 is deprecated."	2016-02-25T09:05:49.150	993592	https://stackoverflow.com/questions/33262467	TRUE	comment in one answer to point out another answer outdated	0	1	0		0	0	1	0	yes	aws-sdk-ruby	deprecated			1	0	0	0	0			2
102026242	42477724	1	"Is this still meant to work, because it appears to be totally ignored by my deployment? Possibly outdated, or should this work?"	2019-09-04T23:18:00.197	3674263	https://stackoverflow.com/questions/42477724	FALSE	asks for possible outdated version	0	0	0		1	0	0	0	yes	amazon-elastic-beanstalk	outdated	possibly outdated		1	0	0	0	0			2
111893971	63275335	0	"Hi. I tried /home/webapp as well and that didn't work. Should it? In any case I am not able to add the .ebextensions folder to the root of my spring boot war package as is needed. I Googled around for it and there are many different solutions, but they all seem to be outdated. None worked for me. Do you have any knowledge on that? I am using Maven"	2020-08-06T06:06:30.027	1304505	https://stackoverflow.com/questions/63275335	FALSE	asks for possible outdated version	0	0	0		1	0	0	0	yes	"amazon-ec2, amazon-elastic-beanstalk"	outdated	seems to be outdated		1	0	0	0	0			2
104655710	48912284	1	https://stackoverflow.com/questions/58445984/python-at-aws-lambda-requests-from-botocore-vendored-deprecated-but-request	2019-12-06T20:52:58.217	530822	https://stackoverflow.com/questions/48912284	FALSE	linked service outdated	0	0	0		1	0	0	0	no		deprecated			0	0	0	0	0	deprecated' in link to another question		2
56172223	34213578	0	Also note that invoke-async is deprecated ... they recommend using invoke instead (I believe there is a parameter to set it to async though)	2015-12-10T23:48:11.010	1315053	https://stackoverflow.com/questions/34213578	TRUE	code format in answer outdated	0	0	0		1	0	1	0	yes	"amazon-sns, aws-api-gateway"	deprecated			1	1	0	0	0			2
91308115	42021271	0	This should be the accepted answer now. Current accepted answer is obsolete	2018-09-05T07:06:39.470	7061173	https://stackoverflow.com/questions/42021271	TRUE		0	1	0		0	0	0	1	yes	amazon-s3	obsolete			1	1	0	0	0	refer to the new answer		2
66853620	39779480	0	The API docs don't seem to indicate the changeObjectStorageClass method is deprecated. Do you have a link to where you found this information?	2016-09-29T20:46:50.003	1448412	https://stackoverflow.com/questions/39779480	TRUE	asks for possible outdated version	0	0	0		1	0	0	0	yes	amazon-s3	deprecated			1	0	0	0	0			2
59637866	35992215	0	"Okay, good point. But still i would not be able to serve the media from gridfs because both nginx-gridfs and mod_gridfs are outdated"	2016-03-14T16:15:27.777	5161107	https://stackoverflow.com/questions/35992215	TRUE	code format in another comment outdated	0	0	0		1	0	0	1	yes	aws-documentdb-mongoapi	outdated			1	0	0	0	0			1
103835770	58362062	0	@matt the old answer is outdated. the new one is appropriate for 2019. this affects a lot of people	2019-11-08T23:22:05.177	2784835	https://stackoverflow.com/questions/58362062	TRUE		0	1	0		0	0	0	1	yes	amazon-ec2	outdated			1	1	0	0	0	refer to the new answer		1
83478364	48247353	0	"Ah I'm outdated, But I still dont see why you believe that the credentials was retrieved by the application ?"	2018-01-14T08:40:22.587	682485	https://stackoverflow.com/questions/48247353	FALSE	outdated' mentioned to answer questions	0	0	0		1	0	0	0	yes	"amazon-ecs, aws-sdk-js, aws-sdk-nodejs"				0	0	0	0	1			1
83787006	48399493	0	"1. Using command line arguments is not an ""optimization"". 2. You don't even try to handle files in subdirectories (and Python makes it very easy). 3. Please translate to Python 3. (Since this is not explicitly tagged ""Python-2.7"", assume the non-obsolete version.)"	2018-01-23T10:37:49.217	699305	https://stackoverflow.com/questions/48399493	FALSE	outdated' mentioned to answer questions	0	0	0		1	0	0	0	no		obsolete	non-obsolete version		0	1	0	0	0	python version		2
52289601	29359050	1	Nice answer. Its worth noting that AttributeUpdates has been deprecated now so UpdateExpression is definitely the way to go. http://docs.aws.amazon.com/amazondynamodb/latest/APIReference/API_UpdateItem.html#DDB-UpdateItem-request-AttributeUpdates	2015-08-25T11:27:25.110	590974	https://stackoverflow.com/questions/29359050	TRUE	code format in answer outdated	0	0	0		1	0	1	0	no		deprecated	has been deprecated		1	1	1	0	0	appraise the answer first		2
35730070	23326644	0	Ahh... My outdated info about S3.. They support up to 5TB now: http://aws.typepad.com/aws/2010/12/amazon-s3-object-size-limit.html	2014-04-28T06:12:21.343	447502	https://stackoverflow.com/questions/23326644	FALSE	outdated' mentioned to answer questions	0	0	0		1	0	0	0	yes	amazon-s3	outdated	my outdated info		0	0	1	0	0			2
80723701	46888079	0	"I think this info is outdated, the size of the zip file doesn't matter, what matters is the unzipped file size, which must be less than 250 Mb."	2017-10-23T11:35:43.280	3736779	https://stackoverflow.com/questions/46888079	FALSE	outdated' mentioned to answer questions	0	0	0		1	1	0	0	yes	aws-lambda	outdated			1	1	0	0	0	point out obsoleteness bur corrected by another user		2
60730019	1786158	0	Links are obsolete by now!	2016-04-12T06:24:56.560	3305978	https://stackoverflow.com/questions/1786158	FALSE		1	0	0		0	0	0	0	no		obsolete	links are obsolete		1	0	0	0	0			2
91597942	52324190	0	I have rails 5.2 and ruby 2.3.5. I had to move to stack cedar-14 which is deprecated because when I would try to deploy to heroku it kept trying to bundle version 2.3.7 even though in my gemfile and gemfile lock it was specified to 2.3.5 which is the last supported ruby version for heroku.	2018-09-14T05:38:26.217	10140583	https://stackoverflow.com/questions/52324190	FALSE	outdated' mentioned to answer questions	0	0	0		1	0	0	0	yes	aws-sdk-ruby	deprecated			1	1	0	0	1	mention about new version		1
64004952	38293614	0	"My opinion may be outdated. For years RDS could not tune the InnoDB log file size, or offer query logs except for table-based logs. That seems to have changed. But I guess I have a prejudice against a database server I can't log into! :-)"	2016-07-10T16:21:16.130	20860	https://stackoverflow.com/questions/38293614	TRUE		0	1	0		0	1	1	0	yes	aws-rds	outdated	might be outdated		0	0	0	0	1	provide reasons for possible solutions		2
109988937	62175887	0	"@omajid I want to check and manage openssl myself temporarily because apparently [Amazon failed](https://forums.aws.amazon.com/thread.jspa?messageID=945347) to include a non-obsolete version in its Amazon Linux 2 VM (which is used by lambda), which results in multiple SSL connections failing in production following the global [Sectigo certificate issue](https://nakedsecurity.sophos.com/2020/06/02/the-mystery-of-the-expiring-sectigo-web-certificate/), including the SMTP connection to our mail provider."	2020-06-04T08:23:57.243	547733	https://stackoverflow.com/questions/62175887	TRUE		0	0	1		0	0	1	0	yes	aws-lambda	obsolete			1	0	0	0	1	provide reasons for obsoleteness		1
45769217	28682878	0	"Ok, I thought so too.. the website is outdated. Thanks."	2015-02-26T13:05:36.023	1209290	https://stackoverflow.com/questions/28682878	TRUE		0	0	1		0	0	0	1	yes	amazob-dynamodb	outdated			1	0	0	0	0	user found obsoleteness by himself		2
77995658	45509283	1	"Side-note: Amazon SimpleDB is effectively deprecated. It's still there, it's still running, the [documentation is available if you know where to look](http://docs.aws.amazon.com/AmazonSimpleDB/latest/DeveloperGuide/Welcome.html). However, if you are looking for a long-term solution, consider using Amazon DynamoDB instead."	2017-08-05T00:46:48.607	174777	https://stackoverflow.com/questions/45509283	TRUE		0	0	1		0	0	1	0	yes	amazon-simpledb	deprecated	effectively deprecated		1	1	1	0	0			1
49626653	30771427	0	I've seen that example but `params[:file].original_filename` is deprecated and was giving me issues. Also `params[:file].read` returns a no method error.	2015-06-11T18:22:23.977	2270375	https://stackoverflow.com/questions/30771427	TRUE	code format in question outdated	0	0	0		1	0	0	1	no		deprecated			1	0	0	0	0			2
