Id,PostId,Score,Text,CreationDate,UserId,ContentLicense,,link
1560592,1680318,0,"Alex, thanks for answer. I'm rolling my own since two years and keeping those installation as AMI but normally when it comes time again using AMI many things have changed. And now I feel that bit outdated and again rolled my own. Just wanted to get out of that cycle with some pre built up-to-date AMIs, exactly something like EY Cloud. Which I think over priced.",2009-11-06T07:42:27.730,33065,CC BY-SA 2.5,,https://stackoverflow.com/questions/1680318
6402036,757117,0,This information is a bit outdated now anyway.,2011-04-11T09:41:06.577,5409,CC BY-SA 3.0,,https://stackoverflow.com/questions/757117
6619801,5767989,0,Looks interesting but non of the Sample Requests actually work. It seems the doc is outdated or something...,2011-04-25T10:18:46.767,352959,CC BY-SA 3.0,,https://stackoverflow.com/questions/5767989
8109582,4715613,2,"This response is really outdated. First, nobody uses EBS with cassandra. Seriously don't do it. Instead, create an LVM RAID-0 volume of all of the ephemeral disks with ext4. Use m1.xlarge since it has four ephemerals and I/O bandwidth is your biggest bottleneck on EC2.Make sure to stripe your nodes across availability zones so that you can survive a net split / full AZ outage.Write a cron job to do regular nodetool snapshots and upload to S3 for backup.Again, since I/O bandwidth is your worst enemy, you're more likely to grow your cluster than increase instance size once in production.",2011-07-26T05:12:33.673,106958,CC BY-SA 3.0,,https://stackoverflow.com/questions/4715613
8585917,7154807,0,"Support for much of HTML5 is still in beta stages äóñŒæThat is, they include functionality on a basic level, but the level of support for specific tags is still poorly supported. http://www.wired.com/epicenter/2010/11/ie9-leads-pack-in-html5-support-not-exactly/ While the information posted here is outdated, my PC at work with current IE9 still ranks in the mid 100s on html5test. HTML5 itself is still not widely supported, and is commonly not recommended for development.",2011-08-23T04:31:26.810,345585,CC BY-SA 3.0,,https://stackoverflow.com/questions/7154807
10024059,8164075,1,"If it's free/open source, ask the devs and offer to help (as I said, might not be much work - and we can probably help if you ask specific question). If it's commercial, put some pressure on the company telling them that their software forces you to downgrade to a possibly insecure and certainly outdated version of PHP.",2011-11-17T08:37:00.453,298479,CC BY-SA 3.0,,https://stackoverflow.com/questions/8164075
10888277,8737041,1,"Yup, that definitly helps. Since i -->also<-- had troubles getting the IFrame. Still, my main goal (and what the bounty is set for) is to get the (isolated) reviewrank information described as ""Average customer review""[..](for a specific product) in older API documentations (yet removed since outdated). I just need a way to get that number of avarage product stars (1-5) somehow.",2012-01-05T11:21:12.973,393969,CC BY-SA 3.0,,https://stackoverflow.com/questions/8737041
12060525,9520377,0,"@Mark_54: This clearly indicates that you are still using your original XSLT transform by some means, insofar this is the only source where the now outdated `2005-10-05` namespace can stem from - you must have done a mistake somewhere, either by not updating the correct XSLT file in the first place (e.g. a local copy only) or not using the correct XSLT file in turn (e.g. not replacing the one in use in your server with the modified one). The latter might actually be caused by caching eventually, i.e. depending on how you do the XSLT processing, you might need to restart your (web) server.",2012-03-01T18:19:08.180,45773,CC BY-SA 3.0,,https://stackoverflow.com/questions/9520377
12390749,9742168,1,"OK, that's because you're using the VERY VERY old S3 gem, this gem is clearly outdated. You should use the official AWS SDK gem from Amazon.",2012-03-16T18:00:57.883,323384,CC BY-SA 3.0,,https://stackoverflow.com/questions/9742168
13228574,10252770,0,Hmm this content seems to be outdated or maybe I didn't realize how to do that. Is there any pay support from Amazon?,2012-04-23T15:04:45.643,719427,CC BY-SA 3.0,,https://stackoverflow.com/questions/10252770
13499087,10453972,0,"Hey Nont, thqnks for your comment. Thing is, the opencv package available in ubuntu is waaay outdated, and I really need some newer version. I can still compile it on host though, and try to send it one way or another.",2012-05-04T18:23:00.800,282677,CC BY-SA 3.0,,https://stackoverflow.com/questions/10453972
14095955,8093549,0,This presentation was given to client (little outdated) so thats why presentation is showing suggested architecture.,2012-05-31T05:26:48.390,1173629,CC BY-SA 3.0,,https://stackoverflow.com/questions/8093549
20194014,14476243,0,"ok, I was thinking this page was outdated (due to all items except one being finished, look at the end of the page): http://www.mono-project.com/Article:ThreadPool_Deadlocks , but maybe not. You could then try the workarounds that are there, like export MONO_THREADS_PER_CPU=2000 or <httpRuntime minFreeThreads=",2013-01-23T22:38:09.990,544947,CC BY-SA 3.0,,https://stackoverflow.com/questions/14476243
20671191,14761913,2,I think this information is a bit outdated. I would not recommend deployment with fastcgi and flup because it is discontinued. I deploy my apps with Apache2 + mod_wsgi (simple to setup) or nginx + uwsgi (better performance). Check this question http://stackoverflow.com/questions/12305146/python-2-7-with-webpy-flup-or-modwsgi,2013-02-08T06:54:59.050,329226,CC BY-SA 3.0,,https://stackoverflow.com/questions/14761913
22984645,16086195,0,"Its an alternate method which uses the git deployment feature of AWS S3.I haven't written too much about it, so thats the reason I haven't released 1.0. Btw, can you pastebin a full trace? The version it seems to be running seems quite outdated, as recent versions print out its status",2013-04-19T05:26:45.280,39261,CC BY-SA 3.0,,https://stackoverflow.com/questions/16086195
23915129,14647052,0,Outdated answer. Amazon launched their App Store in China at the beginning of May 2013.,2013-05-19T02:12:27.290,14955,CC BY-SA 3.0,,https://stackoverflow.com/questions/14647052
25378810,10899935,0,`@moosgummi` your answer is outdated as of 2012.,2013-07-04T08:35:25.393,227755,CC BY-SA 3.0,,https://stackoverflow.com/questions/10899935
