Id,PostId,Score,Text,CreationDate,UserId,ContentLicense,,link
8008147,6735850,0,"@house9, I've looked at heroku already, and their prices are huge for us compared to a linode vm ($20/m). I'm trying out amazon's free service, which is why I wanted resources specific to ec2. Regarding the other link, I've looked them up, but they're a bit outdated. Thanks for the suggestions though!",2011-07-19T22:43:03.567,152092,CC BY-SA 3.0,,https://stackoverflow.com/questions/6735850
9594466,7864988,0,UIDevice `uniqueIdentifier` is deprecated in iOS 5.,2011-10-23T08:13:47.107,18091,CC BY-SA 3.0,,https://stackoverflow.com/questions/7864988
12168919,9592298,0,"I just deleted my answer a second time (for good) and will refrain from adding another one until I can actually reproduce an end to end solution in .NET. Pre-signed URLs for custom domains are known to work in principle (see e.g this ancient AWS team response to [CNAME alias with pre-signed query](https://forums.aws.amazon.com/message.jspa?messageID=71409#71409) and I've used them as well accordingly; the VANITY parameter in the Ruby example is deprecated and not available in the AWS SDK for .NET anyway, where it's supposed to just work like so, AFAIK - Again, sorry for the hassle!",2012-03-07T00:31:52.583,45773,CC BY-SA 3.0,,https://stackoverflow.com/questions/9592298
14091455,10824033,0,"EMR boots up with a deprecated hadoop-site.xml file and it looks like it may be using this and the hadoop.tmp.dir config defined in it, which points to /tmp. /tmp is much smaller. I'm going to try overriding that config. It may not work though.  https://forums.aws.amazon.com/thread.jspa?threadID=32108",2012-05-30T22:09:59.927,602266,CC BY-SA 3.0,,https://stackoverflow.com/questions/10824033
16108783,12057376,0,Are you using Replica Sets? Master-Slave has been deprecated.,2012-08-21T19:37:00.483,261188,CC BY-SA 3.0,,https://stackoverflow.com/questions/12057376
17895827,13148962,3,You are using an outdated CMIS URL. Try http://localhost/alfresco/cmisatom .,2012-10-31T09:12:20.347,345826,CC BY-SA 3.0,,https://stackoverflow.com/questions/13148962
20033966,14399249,0,"@pjp: No, `ext/mysqli` is not likely to be deprecated any time soon (unlike `ext/mysql` which is now deprecated as of PHP v5.5.0).",2013-01-18T12:56:06.973,623041,CC BY-SA 3.0,,https://stackoverflow.com/questions/14399249
20034363,14399249,0,i know..mysqli will not be deprecated just yet! but PDO is going to be a standard or probably is..thats why if its ported..then make it PDO based. it is also far more secured,2013-01-18T13:10:33.827,1208469,CC BY-SA 3.0,,https://stackoverflow.com/questions/14399249
22012770,15536803,0,"hlegius: some sites talk about using authorized_keys2 (although I believe that is now deprecated). I did try putting my id_rsa.pub into server:~/.ssh/authorized_keys, but that doesn't work either. Thanks anyway.",2013-03-21T00:36:28.010,2193077,CC BY-SA 3.0,,https://stackoverflow.com/questions/15536803
22037703,15550433,0,"@believeme That example uses deprecated mysql library and has issues with SQL injection. While it does demonstrate the concept, the code needs to be improved before using it in production.",2013-03-21T15:32:21.667,790224,CC BY-SA 3.0,,https://stackoverflow.com/questions/15550433
23208548,534774,4,"Most of the answers are outdated now that Amazon EC2 supports 64-bit AMIs on all instance types.  Since EC2 does not support 32-bit on all instance types, I recommend always using 64-bit: http://alestic.com/2012/03/ec2-64-bit",2013-04-25T23:01:01.423,111286,CC BY-SA 3.0,,https://stackoverflow.com/questions/534774
26265812,17963734,0,"OK, so the problem is deprecated class KeyguardLock and calling lock.disableKeyguard(); which makes the app stop. Deprecated since API 13.",2013-07-31T11:37:57.843,1268593,CC BY-SA 3.0,,https://stackoverflow.com/questions/17963734
28231812,19095925,0,Side note: You need to upgrade your postgres a least to 8.4 . 8.2 is outdated and not supported.,2013-09-30T13:58:48.770,1818688,CC BY-SA 3.0,,https://stackoverflow.com/questions/19095925
31194753,7170438,0,"Now that ASIHTTPRequest is deprecated, is there a better way to do this?",2013-12-27T19:15:00.260,388157,CC BY-SA 3.0,,https://stackoverflow.com/questions/7170438
31394762,20912041,1,Oh. Just started looking at django-storages. It looks like the CloudFiles backend is way out of date (it references a Mosso CloudFiles module that has since been deprecated). If you continue using django-storages I recommend using the libcloud backend.,2014-01-03T20:59:00.877,700228,CC BY-SA 3.0,,https://stackoverflow.com/questions/20912041
31528860,20983127,0,I found the issue. My CLIs were outdated.,2014-01-07T22:42:08.630,2836412,CC BY-SA 3.0,,https://stackoverflow.com/questions/20983127
31926544,21166320,0,"And really, you're using the outdated and unsupported version of Amazon's SDK for PHP. You should really consider upgrading. The benefits are HUGE.",2014-01-18T07:52:52.633,228514,CC BY-SA 3.0,,https://stackoverflow.com/questions/21166320
33013161,21814486,0,BUT httpclient has been deprecated. .. why would you still use it ? and what do u mean by bees knees?,2014-02-16T17:13:05.993,3134565,CC BY-SA 3.0,,https://stackoverflow.com/questions/21814486
34180760,22452794,0,"@BobKinney I want to upload throttled stream to Amazon Server using S3. ` // The S3UploadInputStream was deprecated after the release of iOS6.        S3UploadInputStream *stream = [S3UploadInputStream inputStreamWithData:dataToUpload];          if ( using3G ) {            // If connected via 3G ""throttle"" the stream.            stream.delay = 0.2; // In seconds            stream.packetSize = 16; // Number of 1K blocks        } `  But this is deprecated, so is there any other way to achieve this?",2014-03-18T04:51:58.543,3428530,CC BY-SA 3.0,,https://stackoverflow.com/questions/22452794
34205762,22452794,0,"The solution we had was unfortunately sub-optimal and caused some issues with threading, so we deprecated it as it was only for the 3G bug. You didn't really answer my question, why do you need to offer throttled uploads?",2014-03-18T16:23:50.897,1721437,CC BY-SA 3.0,,https://stackoverflow.com/questions/22452794
34223692,22492669,0,I would avoid spending too much time on this. That version is deprecated. Follow the rest of that blog post and create your own AMI installing a current shiny-server v 1.0 which got bumped from version 0.5.0,2014-03-19T02:28:27.670,1690692,CC BY-SA 3.0,,https://stackoverflow.com/questions/22492669
34300373,22538885,0,A similar question with signed URLS is here - http://stackoverflow.com/questions/10811017/how-to-store-data-in-s3-and-allow-user-access-in-a-secure-way-with-rails-api-i - but it is a bit outdated (2 years old) and I think there is an easier solution just by preventing direct requests.,2014-03-20T16:15:11.700,1001938,CC BY-SA 3.0,,https://stackoverflow.com/questions/22538885
34396131,22592128,0,"I'm forced to use RHEL 6.4 on my work, and from my point of view the huge part of packages in this distro is outdated. GCC 4.4 supports less then a half of C++11 features. I guess that Clang from repo is quite old too (3.0?). If it's not a secret, what's the profit from the use of the one? Or maybe you have CentOS 7 beta on-board?",2014-03-23T15:25:39.650,2361497,CC BY-SA 3.0,,https://stackoverflow.com/questions/22592128
34526929,22666177,0,`mysql_real_escape_string()` is deprecated and you shouldn't use it. Switch to prepared statements.,2014-03-26T15:51:20.993,1187891,CC BY-SA 3.0,,https://stackoverflow.com/questions/22666177
34677798,22748594,0,Did you install ImageMagick already in the OS prior to trying to add the node package? It's notorious for being annoying to install due to the dependencies and package repos having outdated versions. I'd double check that it's all working first,2014-03-30T21:31:18.700,808532,CC BY-SA 3.0,,https://stackoverflow.com/questions/22748594
35386975,23120203,0,"I'm fairly certain that's my issue, I've had trouble finding good example bucket policies since the first three Google links for [""Amazon S3 Bucket Policy""](https://www.google.com/search?q=amazon+bucket+policy&oq=amazon) on Amazon are deprecated.",2014-04-17T20:52:16.087,2622969,CC BY-SA 3.0,,https://stackoverflow.com/questions/23120203
38554053,24832333,0,"@CoreyGoldberg With using `apt-get install python-pip` I have always problem, that on older versions of OS (including Ubuntu 12.10) I get rather outdated version of `pip`. As `pip` and `setuptools` undergo significant updates in last 2 years, it makes using it difficult.",2014-07-18T19:29:33.873,346478,CC BY-SA 3.0,,https://stackoverflow.com/questions/24832333
38808771,24965550,0,"Basically a duplicate to this: http://stackoverflow.com/questions/156114/best-way-to-get-result-count-before-limit-was-applied-in-php-postgresql/8242764#8242764. Not sure about Redshift though, which is an odd mix of outdated and modern functionality.",2014-07-26T03:30:52.150,939860,CC BY-SA 3.0,,https://stackoverflow.com/questions/24965550
38854510,16444306,3,"Answers below seem outdated. Use the ""check_implicit_admin"" flag which was added to mysql_user in Ansible 1.3. Setting that to true when setting the password does the trick for me.",2014-07-28T08:58:31.357,273826,CC BY-SA 3.0,,https://stackoverflow.com/questions/16444306
38867292,24998286,0,"@ikegami, the 2 other SO threads I mentioned have JSON links which are deprecated. Hence the price information mentioned there does not match with today's pricing. The link I mentioned in the post has the correct pricing, but it is not in JSON format ... :(",2014-07-28T15:21:31.817,1251660,CC BY-SA 3.0,,https://stackoverflow.com/questions/24998286
39376598,25266444,0,"Honestly I don't think Silk is actually getting in to the function, I'm about to try it in our staging enviornment using ""keydown"" instead of keypress, I'm reading in some places that ""keypress"" is deprecated",2014-08-12T17:20:29.027,1195158,CC BY-SA 3.0,,https://stackoverflow.com/questions/25266444
39598577,25389624,0,Seen the error a few times.  Check out [this](http://stackoverflow.com/questions/21184960/ruby-digestdigest-is-deprecated-use-digest),2014-08-19T18:01:50.407,3109182,CC BY-SA 3.0,,https://stackoverflow.com/questions/25389624
40825389,26040485,1,"Sure Bob!just think about all the reading I've to do about Cognito,IAM,Roles and STS(and more). Most of the stuff aren't clearly explained, examples don't work, the articles are too simplistic for a real-world use and there is also some outdated article. I should understand a really big architecture but what I want is just a bucket accessible from an Android app. I've been using AWS Services from the beginning and loved it but now (as a freelancer) I can't spend 3 days reading all the stuff I need to understand an operation that should be [almost] straightforward.",2014-09-26T12:00:26.110,1254671,CC BY-SA 3.0,,https://stackoverflow.com/questions/26040485
42924215,27220857,0,What is your setup like? Is your service hosted on an ec2 server? Nothing is prohibited if it's between your service and a third party provider. The link says that the communication to **S3** via SOAP is deprecated. Nothing else.,2014-12-01T06:29:56.490,174184,CC BY-SA 3.0,,https://stackoverflow.com/questions/27220857
42924970,27220857,0,"@TJ- Yes correct. It's on EC2. I'm not too familiar with amazon. But the same API on a linux server is running fine, but when on amazon it just doesn't work. And I found that message about soap being deprecated.",2014-12-01T07:07:36.393,1986470,CC BY-SA 3.0,,https://stackoverflow.com/questions/27220857
43231164,25943805,0,"I tried to run `pip install boto --update` on the server to see if it is outdated but it said it's most updated.  Also did the same for `django-storages`.  AWS Support didn't help much neither.  At the end, I started a new VM using Vagrant with m3.medium as instance type.  The new instance works perfectly.  So, I gave up on solving why the previous instance (built in end of Oct, less than 2 months ago) wouldn't work.",2014-12-10T01:08:11.693,3731039,CC BY-SA 3.0,,https://stackoverflow.com/questions/25943805
43656308,27617147,0,Did you follow these instructions to setup Django on EB ?  It is a been outdated now that EB CLI 3.x is here but easy to adapt to the new CLI http://docs.aws.amazon.com/elasticbeanstalk/latest/dg/create_deploy_Python_django.html,2014-12-23T09:35:52.073,663360,CC BY-SA 3.0,,https://stackoverflow.com/questions/27617147
43905481,27721587,0,"The version 1 of the SDK is deprecated, so you should focus on the v2 SDK.The timezone difference should not cause any issue, but a skewed device clock causes a timestamp too skewed exception in AWS Signature Version 4. The SDK should automatically fix the skewed clock issue. Have you printed out the content of `task.error`? Also, you should enable the verbose logging by calling `[AWSLogger defaultLogger].logLevel = AWSLogLevelVerbose;`.",2015-01-02T19:09:27.933,1721492,CC BY-SA 3.0,,https://stackoverflow.com/questions/27721587
45043877,28308210,0,"The link you're referring to is for the older version. `db2_install` is deprecated; you can use a terminal only installation with `db2setup` using a response file, as explained here: http://www-01.ibm.com/support/knowledgecenter/SSEPGG_10.5.0/com.ibm.db2.luw.qb.server.doc/doc/t0007298.html?cp=SSEPGG_10.5.0%2F2-0-5-4&lang=en",2015-02-05T17:13:50.453,1227152,CC BY-SA 3.0,,https://stackoverflow.com/questions/28308210
45270730,22130214,0,@PaulWhipp: That document is now outdated. [HVM images can now use PV drivers](http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/virtualization_types.html) for higher performance.,2015-02-12T09:15:56.677,343302,CC BY-SA 3.0,,https://stackoverflow.com/questions/22130214
45658540,28657918,0,The version 1 of the AWS Mobile SDK is deprecated. You should consider upgrading to the [version 2](http://aws.amazon.com/mobile/sdk/).,2015-02-23T20:32:52.717,1721492,CC BY-SA 3.0,,https://stackoverflow.com/questions/28657918
45727518,28704869,0,"@AgRizzo 2.1 is a little outdated, in later versions the [**last response**](http://api.cakephp.org/2.6/class-SmtpTransport.html#_getLastResponse) is being buffered. However since the message id is probably contained in the response for the `DATA` command, this will still require a custom/extended transport, as publicly the last response is the response to the `QUIT` command. It's a little more comfortable in 3.x where you can keep connections alive.",2015-02-25T13:34:55.077,1392379,CC BY-SA 3.0,,https://stackoverflow.com/questions/28704869
46140309,28943067,0,Use AFNetworking as the library you are using has been deprecated,2015-03-09T13:23:16.630,1106035,CC BY-SA 3.0,,https://stackoverflow.com/questions/28943067
